onset	duration	object
12	1.9	bench
18	1.9	chair
21	1.9	bed
27	1.9	table
30	1.9	bench
34.5	1.9	chair
39	1.9	bed
45	1.9	table
48	1.9	bench
52.5	1.9	bed
57	1.9	chair
61.5	1.9	table
64.5	1.9	bed
69	1.9	bench
73.5	1.9	table
76.5	1.9	chair
81	1.9	bed
84	1.9	chair
87	1.9	table
90	1.9	bench
96	1.9	chair
99	1.9	bed
102	1.9	bench
106.5	1.9	table
111	1.9	chair
115.5	1.9	table
120	1.9	bench
126	1.9	bed
129	1.9	bed
132	1.9	bench
135	1.9	chair
139.5	1.9	table
145.5	1.9	table
151.5	1.9	chair
156	1.9	bench
159	1.9	bed
162	1.9	table
166.5	1.9	chair
171	1.9	bed
177	1.9	bench
180	1.9	bed
186	1.9	chair
189	1.9	bench
195	1.9	table
198	1.9	table
202.5	1.9	chair
207	1.9	bench
213	1.9	bed
216	1.9	bench
220.5	1.9	chair
225	1.9	bed
229.5	1.9	table
232.5	1.9	bed
237	1.9	table
241.5	1.9	bench
244.5	1.9	chair
249	1.9	bed
252	1.9	table
255	1.9	chair
258	1.9	bench
264	1.9	bench
267	1.9	table
270	1.9	chair
274.5	1.9	bed
279	1.9	bench
283.5	1.9	bed
288	1.9	table
294	1.9	chair
297	1.9	bed
300	1.9	table
303	1.9	bench
307.5	1.9	chair
313.5	1.9	bench
319.5	1.9	chair
324	1.9	table
327	1.9	bed
330	1.9	table
334.5	1.9	bench
339	1.9	chair
345	1.9	bed
